Group,item,Audio,Image,Anzahl
A,11,Audios4_Museum1_21_ja.wav,Bild4-Museum.jpg,11 von 25
A,12,Audios4_Museum2_6_ja.wav,Bild4-Museum.jpg,12 von 25
A,13,Audios4_Museum3_23.wav,Bild4-Museum.jpg,13 von 25
A,14,29_Museum4_ja.wav,Bild4-Museum.jpg,14 von 25
A,15,Audios4_Museum5_17_ja.wav,Bild4-Museum.jpg,15 von 25
A,16,27_Hotel1_ja.wav,Bild5-Hotel.jpg,16 von 25
A,17,10_Hotel2_ja.wav,Bild5-Hotel.jpg,17 von 25
A,18,29_Hotel3_ja.wav,Bild5-Hotel.jpg,18 von 25
A,19,30_Hotel4_ja.wav,Bild5-Hotel.jpg,19 von 25
A,20,31_Hotel5_ja.wav,Bild5-Hotel.jpg,20 von 25
B,11,Audios4_Museum1_21_ja.wav,Bild4-Museum.jpg,11 von 25
B,12,Audios4_Museum2_6_ja.wav,Bild4-Museum.jpg,12 von 25
B,13,Audios4_Museum3_23.wav,Bild4-Museum.jpg,13 von 25
B,14,6_Museum_4_Pause.wav,Bild4-Museum.jpg,14 von 25
B,15,Audios4_Museum5_17_ja.wav,Bild4-Museum.jpg,15 von 25
B,16,27_Hotel1_ja.wav,Bild5-Hotel.jpg,16 von 25
B,17,10_Hotel2_ja.wav,Bild5-Hotel.jpg,17 von 25
B,18,29_Hotel3_ja.wav,Bild5-Hotel.jpg,18 von 25
B,19,8_Hotel4_Pause.wav,Bild5-Hotel.jpg,19 von 25
B,20,31_Hotel5_ja.wav,Bild5-Hotel.jpg,20 von 25
